Nom du lieu,Discipline,Offre,Avantage,Type d'avantage,Adresse,Commune,Latitude,Longitude,Color
Musée Départemental Stephane Mallarmé,Musée,Meilleurs tarifs sur les visites et évènements temporaires,Avantage tarifaire,Tarif réduit,4 Quai Stéphane Mallarmé,Vulaines-sur-Seine,48.43119725787054,2.7467545089838024,#FF0000
Cité de l'architecture et du patrimoine,Musée,"Pour les abonnés Navigo, accès au tarif réduit de 6€ au lieu de 9€ pour le musée et de 9€ au lieu de 12€ pour les expositions temporaires. Offre valable sur présentation du passe Navigo en billetterie du musée.",Avantage tarifaire,Tarif réduit,1 Place du Trocadéro et du 11 Novembre,Paris,48.862544,2.287769,#FF0000
Musée Clemenceau,Musée,"Tarif réduit avantages culture à 3€, tous les mercredis. Achats de billets sur place, auprès de l’établissement.",Avantage tarifaire,Tarif réduit,8 Rue Benjamin Franklin,Paris,48.85918766200694,2.285112552664806,#FF0000
Majestic Passy,Cinéma,Tarif réduit sur la séance dans le cadre de la manifestation Avant-premières! (4-12 juillet),Avantage tarifaire,Tarif réduit,18-20 Rue de Passy,Paris,48.85825436626518,2.282280975667707,#FF0000
Majestic Bastille,Cinéma,Offre en cours d'élaboration.,Avantage tarifaire,Tarif réduit,4 Boulevard Richard Lenoir,Paris,48.85404756378292,2.369977442850605,#FF0000
Insula orchestra et les artistes invités,Musique,Tarif réduit PUBLIC dans la limite de 100 places + Tarif réduit JEUNES 10€ concerts saison,Avantage tarifaire,Tarif réduit,1 Île Seguin,Boulogne-Billancourt,48.82669591685265,2.22865723441985,#FF0000
La Scala Paris,Théâtre | Musique,"Tarif Navigo culture, accès au tarif réduit sur tous les spectacles. Cercle, accès au tarif réduit sur tous les spectacles pour une 2e personne.",Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",13 Bd de Strasbourg,Paris,48.870270013558304,2.3545497057132794,#FF0000
Institut du Monde Arabe,Musée,"Tarif réduit pour l’abonné Navigo sur l’entrée au musée, les expositions et les spectacles. Tarif réduit pour l’accompagnant de l’abonné Navigo si - 26 ans ou demandeur d’emploi ou bénéficiaire du RSA.
Pour les -26 ans, l'exposition « Ce que la Palestine apporte au monde » et le musée sont gratuits tout l'été.",Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",1 Rue des Fossés Saint-Bernard,Paris,48.849074,2.356759,#FF0000
L'Escurial,Cinéma,Offre en cours d'élaboration.,Avantage tarifaire,Tarif réduit,11 Boulevard de Port Royal,Paris,48.836812325776,2.3495914611050965,#FF0000
Les Cinoches - Desnos,Cinéma,Offre ponctuelle et tarif reduit sur les salles adhérentes,Avantage tarifaire,Tarif réduit,Allée Jean Ferrat,Ris-Orangis,48.64691500738956,2.402668929913438,#FF0000
L'Entrepot,Cinéma,Offre en cours d'élaboration.,Avantage tarifaire,Tarif réduit,7-9 Rue Francis-de-Pressense,Paris,48.83392151828622,2.316569419972312,#FF0000
Le Studio,Cinéma,Tarif réduit de la salle pour les détenteurs du Pass Navigo pour toutes les séances d’Arthur Rambo de Laurent Cantet,Avantage tarifaire,Tarif réduit,2 Rue Edouard Poisson,Aubervilliers,48.91078053555589,2.3835843740447014,#FF0000
Le Mouffetard - Théâtre Des Arts de la Marionnette,Théâtre,Tarifs réduits,Avantage tarifaire,Tarif réduit,73 Rue Mouffetard,Paris,48.84227606460468,2.3503216277180576,#FF0000
L'onde,Danse,Tarif réduit 18€ sur les spectacles de danse,Avantage tarifaire,Tarif réduit,8 bis Avenue Louis Breguet,Vélizy-Villacoublay,48.78279510833272,2.178509353158535,#FF0000
Maison Pour Tous Gérard Philipe,Cinéma,Tarif réduit sur des séances du festival Ciné junior et sur des séances évènementielles,Avantage tarifaire,Tarif réduit,118 Rue Youri-Gagarine,Villejuif,48.78225385653411,2.3565978318578784,#FF0000
PanoraMagique à Disneyland Paris,Expérience,Moins 2€ sur les billets adultes (12 ans et plus) soit 13 € au lieu de 15€ ttc,Avantage tarifaire,Tarif réduit,Disney Village,Chessy,48.86904268769647,2.7866621059274874,#FF0000
Maison Auguste Comte,Musée,Tarif réduit de 2€ a l'entrée,Avantage tarifaire,Tarif réduit,10 Rue Monsieur le Prince,Paris,48.851050472345875,2.3393996216439477,#FF0000
Cinéma Studio 28,Cinéma,Tarif réduit sur la séance dans le cadre de la manifestation Avant-premières! (4-12 juillet),Avantage tarifaire,Tarif réduit,10 Rue Tholozé,Paris,48.88615517183761,2.3353649946887325,#FF0000
Les 3 Cinés Robespierre,Cinéma,Tarif réduit sur certaines séances dans le cadre du festival Ciné Junior (2-15 février). Tarif réduit de la salle pour les détenteurs du Pass Navigo pour toutes les séances d’Arthur Rambo de Laurent Cantet,Avantage tarifaire,Tarif réduit,19 Avenue Maximilien Robespierre,Vitry-sur-Seine,48.79106991034085,2.3882362651350255,#FF0000
Le Saint André des Arts,Cinéma,Offre en cours d'élaboration.,Avantage tarifaire,Tarif réduit,30 Rue Saint-André des Arts,Paris,48.85337977106268,2.342062598062399,#FF0000
Le Plus Petit Cirque du Monde,Cirque,Le Plus Petit Cirque du Monde offre un tarif réduit de 10€,Avantage tarifaire,Tarif réduit,1 Impasse de la Renardière,Bagneux,48.78809773897812,2.3023430921630483,#FF0000
Maison De Fer Ville De Poissy,Musée,Tarif réduit,Avantage tarifaire,Tarif réduit,2 ter Allée des Glaïeuls,Poissy,48.92631282137604,2.0322547473676305,#FF0000
Le Lincoln,Cinéma,Tarif réduit sur la séance dans le cadre de la manifestation Avant-premières! (4-12 juillet),Avantage tarifaire,Tarif réduit,14 Rue Lincoln,Paris,48.870513903224605,2.303156741758147,#FF0000
La Colline Théâtre,Théâtre,"Tous les trois mois, La Colline propose aux détenteurs d'un passe Navigo de bénéficier en duo d'un tarif préférentiel pour assister à un spectacle de la saison : 20 € la place et 10 € pour les moins de 30 ans. .Offre valable pour l'achat de 2 billets aux dates indiquées",Avantage tarifaire,Tarif réduit,15 Rue Malte Brun,Paris,48.864599654044184,2.397573870300207,#FF0000
Grand Action,Cinéma,Offre en cours d'élaboration.,Avantage tarifaire,Tarif réduit,5 Rue des Ecoles,Paris,48.84753729803985,2.3521446554837095,#FF0000
France Miniature,Expérience,"Réduction de 20% sur le billet d’entrée aux caisses du parc France Miniature pour les abonnés Navigo + 1 accompagnateur. Offre valable sur présentation d’un passe Navigo valide aux caisses du parc France Miniature, jusqu’au 5 novembre 2023 selon calendrier d’ouverture. Non échangeable, non remboursable et non cumulable avec toute promotion ou tarif préférentiel. D37",Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",25 Route du Mesnil,Élancourt,48.775617707555625,1.9601338822077363,#FF0000
Espace Culturel André Malraux (ECAM) - Théâtre Du Kremlin-Bicêtre,Théâtre | Danse | Cirque,"Tarif réduit de 9€ sur les spectacles, 15€ sur spectacles à tarif exceptionnel et 8€ sur spectacles famille",Avantage tarifaire,Tarif réduit,2 Place Victor Hugo,Le Kremlin-Bicêtre,48.808837,2.360414,#FF0000
Domaine de Dampierre-en-Yvelines,Patrimoine | Jardin,Tarif réduit,Avantage tarifaire,Tarif réduit,2 Grande Rue,Dampierre en Yvelines,48.70483,1.98811,#FF0000
Cinéma Utopia,Cinéma,Mise en place des offres en cours. Voir sur le site web des 24 cinémas du Val d’Oise sur ecransvo.org,Avantage tarifaire,Inconnu,1 Place Pierre Mendès Franc,Saint-Ouen-l'Aumône,49.043608686648675,2.106946618526332,#FF0000
Le Balzac,Cinéma,Offre en cours d'élaboration.,Avantage tarifaire,Tarif réduit,1 Rue Balzac,Paris,48.87295047549214,2.2998705242998905,#FF0000
Max Linder Panorama,Cinéma,Tarif réduit sur la séance dans le cadre de la manifestation Avant-premières! (4-12 juillet),Avantage tarifaire,Tarif réduit,24 Boulevard Poissonniere,Paris,48.87138777125083,2.344849887901363,#FF0000
Mac Créteil,Danse | Théâtre,Tarif réduit de 12€ et gratuit pour accompagnant,Avantage tarifaire,Tarif réduit,Place Salvador Allende,Créteil,48.776933604967226,2.4548637707384713,#FF0000
Musée du quai Branly – Jacques Chirac,Musée,Navigo : tarif réduit sur les pass annuels et les audioguides. Pass Solo : 30 € au lieu de 35 €. Pass Duo : 50 € au lieu de 60 €. Audioguide : 3 € au lieu de 5 €. Carte ImaginR : gratuité pour le porteur de la carte (-26 ans) + tarif réduit accordé sur le billet d’entrée (9 € au lieu de 12 €) pour un accompagnateur. Sur présentation d’un justificatif de validité.,Avantage tarifaire,"Abonnement à tarif réduit,Tarif réduit accompagnant",37 Quai Jacques Chirac,Paris,48.861173438905375,2.2955042953234366,#FF0000
Musée Fournaise,Musée,Tarif réduit de 7€ au lieu de 9€,Avantage tarifaire,Tarif réduit,3 Rue du Bac,Chatou,48.889583,2.163027,#FF0000
Théâtre de Saint Quentin en Yvelines,Théâtre | Musique | Danse,Tarifs réduits,Avantage tarifaire,Tarif réduit,3 Place Georges Pompidou,Montigny-le-Bretonneux,48.78341524946491,2.0424694793440925,#FF0000
Théâtre Mogador,Théâtre | Musique | Danse,"réduction de 10%  les mardis, mercredis et jeudis sur la base du tarif public revendeurs",Avantage tarifaire,Tarif réduit,25 Rue de Mogador,Paris,48.87541,2.33121,#FF0000
Théâtre L'azimut,Théâtre | Musique | Danse | Cirque,Tarif réduit 10€ et Cercle 15€,Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",254 Avenue de la Division Leclerc,Châtenay-Malabry,48.76452497420125,2.2688913492560703,#FF0000
Théâtre Gerard Philipe (Saint-Denis) Cdn,Théâtre | Musique | Danse,Tarif réduit 17€ au lieu de 23€ même tarif accompagnant et offres ponctuelles sur des évènements dédiés,Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",59 Boulevard Jules Guesde,Saint-Denis,48.93827262694061,2.3503429008330965,#FF0000
Théâtre Dunois,Théâtre | Musique | Danse,"Tarif réduit  10€ pour les +25 ans et 7,50€ pour les 15 à 25 ans sur certains spectacles",Avantage tarifaire,Tarif réduit,7 Rue Louise Weiss,Paris,48.833154247827714,2.3705585941073504,#FF0000
Théâtre Des Sources,Théâtre | Musique | Danse,Tarif réduit hors abo et offre à tarif réduit pour l'accompagnant,Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",8 Avenue Jeanne et Maurice Dolivet,Fontenay-aux-Roses,48.79151229236207,2.289832396708443,#FF0000
Mac Val,Musée,4€ grille tarifaire en vigueur,Avantage tarifaire,Tarif réduit,Place de la Libération,Vitry-sur-Seine,48.79297537280029,2.3873800357869586,#FF0000
Théâtre De Suresnes Jean Vilar,Théâtre | Musique | Danse,"Tarif réduit ouvert aux abonnés Navigo sur une sélection de spectacle : https://linktr.ee/avantages_culture_Navigo 
Pour les spectacles au tarif A, 25€ au lieu de 30€, pour les spectacles au tarif B, 20€ au lieu de 25€. Pour les - 28 ans, tarif réduit à 10€ pour les spectacles au tarif A et tarif B.
Offre dans la limite des places disponibles. Réservation sur place ou par téléphone au 01 46 97 98 10 du mardi au samedi de 13h à 18h sur présentation du passe Navigo en cours de validité.",Avantage tarifaire,Tarif réduit,16 Place Stalingrad,Suresnes,48.863279234671936,2.202241041985166,#FF0000
Théâtre De Longjumeau,Théâtre | Musique | Danse,Tarif réduit sur tous les spectacles hors variétés et humour réservés au tarif ville voir programme,Avantage tarifaire,Tarif réduit,20 Avenue du Général de Gaulle,Longjumeau,48.69555390754713,2.2989306220878567,#FF0000
Théatre de la Cité internationale,Théâtre | Musique | Danse,Tatif réduit à 16€ sur l'ensemble de la saison pour les détenteurs du Navigo,Avantage tarifaire,Tarif réduit,21 Boulevard Jourdan,Paris,48.819263454735584,2.3384569564546043,#FF0000
Musée De La Gendarmerie,Musée,Tarif réduit 5€ et cercle 5€ services specifique et visites,Avantage tarifaire,Tarif réduit,1-3 Rue Emile Leclerc,Melun,48.54532229858583,2.6531343940512397,#FF0000
Théâtre André Malraux,Cinéma,Tarif réduit sur certains évènements cinéma,Avantage tarifaire,Tarif réduit,1 bis Rue Guillemeteau,Gagny,48.88405386158545,2.5298167480678955,#FF0000
Théâtre - Cinéma du Garde-Chasse,Théâtre | Musique | Danse,Accès au tarif super réduit de 9€ sur une sélection de spectacles de la saison. Informations et réservation au 01 43 60 41 89,Avantage tarifaire,Tarif réduit,181 bis Rue de Paris,Les Lilas,48.881676046495,2.4198259883943436,#FF0000
Parti Poétique,Centre d'art,Tarif réduit sur visites guidées les samedis à partir du 22 mai jusqu'en octobre : 5€,Avantage tarifaire,Tarif réduit,112 Avenue de Stalingrad,Saint-Denis,48.9472776927154,2.3732600596252005,#FF0000
Théâtre De Boussy-Saint-Antoine- Salle Gérard Philippe - Sothevy,Théâtre | Musique | Danse,Tarif réduit valable sur tous les spectacles hors variétés et humour en tarif agglo,Avantage tarifaire,Tarif réduit,Cours Neuenhaus,Boussy-Saint-Antoine,48.68944309916194,2.5283113378635025,#FF0000
Musée De Montmartre,Musée,"Billet au tarif réduit de 11€ et accès au musée : collections pemanentes, expo temporaire, jardins + offres ponctuelles",Avantage tarifaire,Tarif réduit,12 Rue Cortot,Paris,48.88771756103743,2.3406672185262205,#FF0000
Musée En Herbe,Musée,Tarif réduit uniquement aux détenteurs de imagine R Etudiant gratuit pour l'accompagnant,Avantage tarifaire,"Tarif réduit,Tarif réduit accompagnant",23 Rue de l'Arbre Sec,Paris,48.86015497794567,2.342149143670105,#FF0000
